ADM4_EN,ADM4_UA,ADM4_RU,ADM4_PCODE,ADM3_EN,ADM3_UA,ADM3_RU,ADM3_PCODE,ADM2_EN,ADM2_UA,ADM2_RU,ADM2_PCODE,ADM1_EN,ADM1_UA,ADM1_RU,ADM1_PCODE,ADM0_EN,ADM0_UA,ADM0_RU,ADM0_PCODE,AREA_SQKM,ADM4_RP_LAT,ADM4_RP_LON,ADM0_CAPITAL,ADM1_CAPITAL,ADM2_CAPITAL,AMD3_CAPITAL,CODETOPO,ADM4_TYPE_EN,ADM4_TYPE_UA,SOV_ID,KOATUU,Minrehion,
Andriivka,Андріївка,Андреевка,UA0102001001,Sevastopol,Севастополь,Севастополь,UA0102001,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.95184553,44.816225,33.560977,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990201,UA01020010010075540,
Soniachnyi,Сонячний,Солнечный,UA0102001002,Sevastopol,Севастополь,Севастополь,UA0102001,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.47799042,44.786817,33.617213,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990203,UA01020010020030666,
Aromatne,Ароматне,Ароматное,UA0102003001,Aromatnenska,Ароматненська,Ароматненский,UA0102003,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.53430951,44.799633,33.866785,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480400,0120480401,UA01020030010043419,
Viktorivka,Вікторівка,Викторовка,UA0102003002,Aromatnenska,Ароматненська,Ароматненский,UA0102003,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1.36210635,44.785288,33.797438,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480400,0120480402,UA01020030020095516,
Malovydne,Маловидне,Маловидное,UA0102003003,Aromatnenska,Ароматненська,Ароматненский,UA0102003,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.79806881,44.796376,33.809062,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480400,0120480403,UA01020030030055891,
Riepine,Рєпіне,Репино,UA0102003004,Aromatnenska,Ароматненська,Ароматненский,UA0102003,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.40786536,44.825502,33.838724,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480400,0120480404,UA01020030040087481,
Rozove,Розове,Розовое,UA0102003005,Aromatnenska,Ароматненська,Ароматненский,UA0102003,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.02379743,44.835479,33.818091,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480400,0120480405,UA01020030050049624,
Bakhchysarai,Бахчисарай,Бахчисарай,UA0102005001,Bakhchysaraiska,Бахчисарайська,Бахчисарайский,UA0102005,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,13.17892721,44.748179,33.856626,,,Y,Y,41100000,City,Mіста,0120410100,0120410100,UA01020050010045207,
Nauchnyi,Научний,Научный,UA0102005002,Bakhchysaraiska,Бахчисарайська,Бахчисарайский,UA0102005,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.97337419,44.725253,34.012281,,,,,41200000,Rural settlement,Сільські населені пункти (СНП),0120410100,0120445100,UA01020050020067441,
Verkhnosadove,Верхньосадове,Верхнесадовое,UA0102007001,Sevastopol,Севастополь,Севастополь,UA0102007,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.95047023,44.689598,33.702533,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990501,UA01020070010032091,
Dalnie,Дальнє,Дальнее,UA0102007002,Sevastopol,Севастополь,Севастополь,UA0102007,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.37615449,44.675851,33.622774,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990503,UA01020070020014815,
Kamyshly,Камишли,Камышлы,UA0102007003,Sevastopol,Севастополь,Севастополь,UA0102007,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.20874603,44.662090,33.642823,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990504,UA01020070030047085,
Pyrohovka,Пироговка,Пироговка,UA0102007004,Sevastopol,Севастополь,Севастополь,UA0102007,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.12686326,44.684649,33.727816,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990505,UA01020070040094944,
Povorotne,Поворотне,Поворотное,UA0102007005,Sevastopol,Севастополь,Севастополь,UA0102007,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.15159411,44.676267,33.609720,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990507,UA01020070050086891,
Frontove,Фронтове,Фронтовое,UA0102007006,Sevastopol,Севастополь,Севастополь,UA0102007,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.57860592,44.667250,33.737516,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990509,UA01020070060053271,
Fruktove,Фруктове,Фруктовое,UA0102007007,Sevastopol,Севастополь,Севастополь,UA0102007,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.25109797,44.680603,33.605601,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536990511,UA01020070070045196,
Verkhorichchia,Верхоріччя,Верхоречье,UA0102009001,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.7903443,44.698282,33.987253,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480800,0120480801,UA01020090010083010,
Bashtanivka,Баштанівка,Баштановка,UA0102009002,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.19953022,44.690594,33.900914,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480800,0120480802,UA01020090020067096,
Kudryne,Кудрине,Кудрино,UA0102009003,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.16460547,44.702894,33.945614,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480800,0120480803,UA01020090030041920,
Mashyne,Машине,Машино,UA0102009004,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.21940328,44.698205,33.917395,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480800,0120480804,UA01020090040049851,
Peredushchelne,Передущельне,Предущельное,UA0102009005,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.67959405,44.706423,33.870523,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480800,0120480806,UA01020090050034207,
Synapne,Синапне,Синапное,UA0102009006,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.54221177,44.672151,34.010149,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120480800,0120480807,UA01020090060030677,
Viline,Віліне,Вилино,UA0102011001,Vilinska,Вілінська,Вилинский,UA0102011,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,3.02556329,44.848133,33.682749,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481300,0120481301,UA01020110010021583,
Rozsadne,Розсадне,Рассадное,UA0102011002,Vilinska,Вілінська,Вилинский,UA0102011,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.05852046,44.840650,33.633054,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481300,0120481302,UA01020110020095792,
Holubynka,Голубинка,Голубинка,UA0102013001,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.9010371,44.595265,33.913810,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481901,UA01020130010087113,
Aromat,Аромат,Аромат,UA0102013002,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.3788179,44.580581,33.937719,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481902,UA01020130020090866,
Bahata Ushchelyna,Багата Ущелина,Богатое Ущелье,UA0102013003,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.30868297,44.556762,33.870921,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481903,UA01020130030030071,
Nyzhnia Holubynka,Нижня Голубинка,Нижняя Голубинка,UA0102013004,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.28114854,44.605034,33.898347,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481904,UA01020130040048667,
Novopillia,Новопілля,Новополье,UA0102013005,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.49430723,44.573702,33.910538,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481905,UA01020130050032578,
Poliana,Поляна,Поляна,UA0102013006,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.41352557,44.551816,33.901148,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481906,UA01020130060054004,
Putylivka,Путилівка,Путиловка,UA0102013007,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.53900146,44.569440,33.886986,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481907,UA01020130070069789,
Sokolyne,Соколине,Соколиное,UA0102013008,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1.36705151,44.551773,33.958586,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481908,UA01020130080078137,
Soniachnosillia,Сонячносілля,Солнечноселье,UA0102013009,Holubynska,Голубинська,Голубинский,UA0102013,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.45607845,44.614849,33.944752,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120481900,0120481909,UA01020130090090603,
Dolynne,Долинне,Долинное,UA0102015001,Dolynnenska,Долинненська,Долинненский,UA0102015,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1.51952127,44.754237,33.777796,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482200,0120482201,UA01020150010060092,
Furmanovka,Фурмановка,Фурмановка,UA0102015002,Dolynnenska,Долинненська,Долинненский,UA0102015,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.5920791,44.759600,33.744075,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482200,0120482203,UA01020150020085470,
Novenke,Новеньке,Новенькое,UA0102015003,Dolynnenska,Долинненська,Долинненский,UA0102015,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.14126117,44.734880,33.800508,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482200,0120482202,UA01020150030038136,
Zaliznychne,Залізничне,Железнодорожное,UA0102017001,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.59010301,44.716642,33.801827,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482500,0120482501,UA01020170010043902,
Bilokamiane,Білокам'яне,Белокаменное,UA0102017002,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.70757936,44.680602,33.839943,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482500,0120482502,UA01020170020089142,
Dachne,Дачне,Дачное,UA0102017003,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.17698986,44.715897,33.823365,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482500,0120482503,UA01020170030079411,
Mostove,Мостове,Мостовое,UA0102017004,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.28931237,44.728849,33.811381,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482500,0120482504,UA01020170040066352,
Richne,Річне,Речное,UA0102017005,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.23894026,44.737697,33.786318,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482500,0120482505,UA01020170050089604,
Turhenievka,Тургенєвка,Тургеневка,UA0102017006,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.98945656,44.697935,33.831242,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482500,0120482507,UA01020170060067566,
Syren,Сирень,Сирень,UA0102017007,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.06338926,44.704901,33.799580,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482500,0120482506,UA01020170070056496,
Zelene,Зелене,Зеленое,UA0102019001,Zelenivska,Зеленівська,Зеленовский,UA0102019,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.29176492,44.595712,34.010061,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482900,0120482901,UA01020190010051671,
Bohatyr,Богатир,Богатырь,UA0102019002,Zelenivska,Зеленівська,Зеленовский,UA0102019,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.21094869,44.578956,34.007909,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482900,0120482902,UA01020190020045232,
Mnohorichchia,Многоріччя,Многоречье,UA0102019003,Zelenivska,Зеленівська,Зеленовский,UA0102019,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.19513647,44.558138,34.073677,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482900,0120482903,UA01020190030083840,
Nahirne,Нагірне,Нагорное,UA0102019004,Zelenivska,Зеленівська,Зеленовский,UA0102019,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.30758052,44.576426,33.992280,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482900,0120482904,UA01020190040049837,
Plotynne,Плотинне,Плотинное,UA0102019005,Zelenivska,Зеленівська,Зеленовский,UA0102019,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.72214666,44.585847,33.965715,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482900,0120482905,UA01020190050073256,
Shchaslyve,Щасливе,Счастливое,UA0102019006,Zelenivska,Зеленівська,Зеленовский,UA0102019,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.54808418,44.574446,34.069690,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120482900,0120482906,UA01020190060074109,
Inkerman,Інкерман,Инкерман,UA0102021001,Sevastopol,Севастополь,Севастополь,UA0102021,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1.38854036,44.618501,33.605622,,,,,41100000,City,Mіста,8500000000,8536310300,UA01020210010017308,
Kacha,Кача,Кача,UA0102023001,Sevastopol,Севастополь,Севастополь,UA0102023,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1.52575936,44.772265,33.545947,,,,,41200000,Rural settlement,Сільські населені пункти (СНП),8500000000,8536965300,UA01020230010099876,
Vyshneve,Вишневе,Вишневое,UA0102023002,Sevastopol,Севастополь,Севастополь,UA0102023,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.41745753,44.732597,33.604708,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536965301,UA01020230020084271,
Orlivka,Орлівка,Орловка,UA0102023003,Sevastopol,Севастополь,Севастополь,UA0102023,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.85793033,44.730308,33.581769,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536965303,UA01020230030045170,
Osypenko,Осипенко,Осипенко,UA0102023004,Sevastopol,Севастополь,Севастополь,UA0102023,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.36503348,44.734303,33.562605,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536965305,UA01020230040072585,
Poliushko,Полюшко,Полюшко,UA0102023005,Sevastopol,Севастополь,Севастополь,UA0102023,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.15300975,44.742894,33.587933,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),8500000000,8536965307,UA01020230050045167,
Kashtany,Каштани,Каштаны,UA0102025001,Kashtanivska,Каштанівська,Каштановский,UA0102025,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.67713568,44.868618,33.784070,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483600,0120483601,UA01020250010041753,
Vidradne,Відрадне,Отрадное,UA0102025002,Kashtanivska,Каштанівська,Каштановский,UA0102025,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.72081889,44.860920,33.730461,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483600,0120483602,UA01020250020012476,
Kocherhine,Кочергіне,Кочергино,UA0102025003,Kashtanivska,Каштанівська,Каштановский,UA0102025,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.72544676,44.838121,33.751725,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483600,0120483603,UA01020250030075002,
Shevchenkove,Шевченкове,Шевченково,UA0102025004,Kashtanivska,Каштанівська,Каштановский,UA0102025,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.83207325,44.866911,33.753492,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483600,0120483604,UA01020250040058984,
Krasnyi Mak,Красний Мак,Красный Мак,UA0102027001,Krasnomatska,Красномацька,Красномакский,UA0102027,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.91188237,44.645751,33.782436,,,,Y,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483900,0120483901,UA01020270010094080,
Zalisne,Залісне,Залесное,UA0102027002,Krasnomatska,Красномацька,Красномакский,UA0102027,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.45555284,44.622263,33.785995,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483900,0120483902,UA01020270020068295,
Khodzha Sala,Ходжа Сала,Ходжа Сала,UA0102027003,Krasnomatska,Красномацька,Красномакский,UA0102027,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,0.13390612,44.606192,33.791659,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483900,0120483905,UA01020270030032403,
Kholmivka,Холмівка,Холмовка,UA0102027004,Krasnomatska,Красномацька,Красномакский,UA0102027,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1.0888962,44.657584,33.754562,,,,,42100000,Urban-type settlement,Селища міського типу (СМТ),0120483900,0120483903,UA01020270040076507,
Kuibysheve,Куйбишеве,Куйбышево,UA0102029001,Kuibyshevska,Куйбишевська,Куйбышевский,UA0102029,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,1.77623637,44.633352,33.866343,,,,Y,41200000,Rural settlement,Сільські населені пункти (СНП),0120455300,0120455300,UA01020290010096881,
